Username,Comment
@scotdoc,Another great video thanks. Your videos are the best on YouTube on this topic & inspired me to persevere with the move from MacBook to iPad Pro. Loving it so far. I totally agree that you need to give yourself time to relearn how to do some tasks. After a while it’s become as fast to do things as on my MBP. iPad is so much more fun and sooo versatile!  11:47
@BrennanArrold,"Thanks for sharing. I enjoy your videos being done with real world experience 

I've been using the iPad since day dot. I used the early versions for work where I could and this got so much better when Microsoft and Cisco (Webex) developed their apps for the IPad - Others soon followed. 

Other significant improvements have been the introduction of the iPad Pro in 2017, then the Magic Keyboard in 2020 and surprisingly the ""Request Desktop Website"" for setting for Safari. 

I've been using the iPad Pro as my primary device (work and personal) since 2018. Ably supported by my iPhone, iPad Mini and MacBook.  

There are still a few things I need my MacBook for, and it's a comfort to have it available for those occasions. That is less and less these days. "
@JonDisnard,"Nice. I've been doing the same thing with a big Samsung S9 tab ultra. I'm an IT person, software engineer, and an aging student. Microsoft suite is usable, but even the online version is sometimes better than the native Android. All browser stuff is pretty good, and we have several browser options on Android. Google suite is decent. Samsung has a Dex mode to make things very similar to desktop, with floating windows."
@TransitAndTeslas,I am loving that look of having no app icons
@fifthfeliciano2348,"I’m a teacher and I both have an iPad Pro and a Macbook. I can definitely work with my iPad but I keep on coming back to my mac because I print a lot of documents and my printer is not a wifi ready. But workflow wise, I can survive with just an iPad."
@terencealbertmcbain8041,"I am using the 9th gen iPad at this point, but would like to get the iPad Pro m4a enjoy the iPad because of the security, the only thing is the price of $2,600 out of price range right now"
@AlejandroEarthPerson,"You mentioned my 2 reasons I cannot move to or rely solely on the ipadOS… smartsheets is annoying and zoom sharing just not there. 

I’m holiday Apple fix WebKit or other browsers can bring their own engines… and sharing screen. 

You got a new follower just to keep up to date with what’s possible."
@KatanaHYC,I tried really hard to adjust my workload and I finally did it at 95%. Only problems are track changes at big .doc files or managing huge .pdf files.
@24hrstolive27,"new to channel love the content, just bought the 13 in pro with 512gb and loving it.... thank you, i dont need a computer when i have this... so much easier to use"
@ryanduffy5887,"I love my ipad pro, dont need a pro but its nice to have. The one thing id love to see is an apple magic keyboard that could also work as a case maybe that allows the keyboard to detach. My kids are very clumsy and i need a protective case lol"
@dirkackbar2041,"My IMac is old (2013), my iPad Pro is somewhat old (3rd generation). I got a m4 MacBook 14 inch. I still like playin around on my ipad. If it could use full office 365 that would be great."
@moonbaby6134,iPad is 19 is supposed to be a decent jump towards a more Mac way of working.  Be interesting to see what your thoughts are when it comes out in the autumn.
@rorywalters1614,"I can do all my MacBook stuff on my iPad 9, so I can leave my old MacBook Pro 2016 at my work place, and bring the iPad to anywhere else. To anyone who wants to use the iPad as a laptop replacement, I would suggest: Do not trying to do everything the laptop way, what I mean is, don’t try to do everything with a mouse or trackpad. In many situations you can do something much easier with your finger taps. I own both Apple’s Smart Keyboard cover and Logitech’s Combo Touch, and I use the Smart Keyboard the most. I found for the most part, the trackpad on the Combo Touch keyboard is useless, because it slows me down doing tasks, I can do stuff much quicker with finger taps. Using a mouse would be better but still slower than finger taps. You got a touch screen and a touch-optimised interface, take advantage of them."
@MikeComicBook,"This really depends on the work you do. For mathematical modelling, this is really useless. Even writing a mathematically oriented paper causes problems. First, we use LaTeX, a de facto standard for mathematical/technical papers. Second, even if for some reason (e.g., collaboration) we use MS Word, it still does not allow for using mathematical formulae (on the iPad). There are too many limitations to use it comfortably as a computer replacement. However, the iPad is great as a companion device. I usually connect my MacBook Pro to a display or share a screen, say through MS Teams or Zoom, and then AirDrop my iPad’s screen on it, which lets me write any mathematics, game theory, and mathematical economics for my students. This combination is tough to beat. It was interesting to see your points. Well done."
@asfanebi567,glad this setup works for you  keep it up
@mrmartywaring,"For me, the iPad is an amazing device that I like to use as my travel alternative. I can perform about 80-85% of my tasks. There are some things I absulutely need my MacBook or Windows laptop to perform those tasks more efficiently."
@TimeTravelersTales-w5p,Yes - screen on secondary monitor needs to show shared  - important for apple to fix this in new 19
@ReverseSpirits,I’ll be back in 66 days when you use it for a year 
@craigjok,Nicely Done 
@sherrilltechnology,If Apple would make the iPad to use 2 monitors i would completely go to the iPad at work!! I wish they would get that working for reals i can deal with everything else! Great video!
@marlonalvarez9029,"Thanks for the video. I want to make the switch but I have a software that requires a laptop/pc to run, unfortunately."
@ishayb67,"Hi, First of all, thank you for sharing your knowledge and experience.
 I also switched to working full-time on an iPad m4 Pro about eight months ago, Most of my work is in Office with Copilot automatically running in the background (I work with the Unibrist account) and basic things I can't do or don't know how to do, how can I open more than one Word screen?"
@Tech4YourNeeds,"I use my iPad Pro 11-inch with 256GB of storage for about 95% of my usage, while I only use my Windows laptop for the remaining 5%."
@maniojha4389,"Really helpful & awesome video man
Could u plz make a video on how to use mouse & keyboard to actually use my ipad Pro M1 as a MacBook ( do i need a mouse)
Would really appreciate it"
@jimisnow,"Nice videos, thanks- your thoughts on nano-texture for iPad
?"
@mikevigrass,I enjoyed the video! Have you experimented with the chrome browser? Does it render the pages better than what you were experimenting with Safari?
@whitecomet25,Hi so far i used ipad pro as a laptop replacement for 19 days. Its worth than windows. I will the AAA games soon.
@DanielBallJJBBA,How many nicks & scratches do you see on this after such consistent use?
@fernandoscolletion,Achilles heel is still “Finder”.
@LIGHTISBURNING,You cant create Anki cards on an iPad... that is the problem.
@Arthishow,"This cannot do it for me. I dunno how many times I wanted to do something quite simple like open a ppt and it just didn't work and I got this error message ""can't communicate with..."", or maybe sometimes you're in an app and you copy the text or the image and it just doesn't... Or simple things you can always do on desktop like copying an image and passing it in image search will not work on ipad, you need to actually download the image then browse for it to upload it to an image search window... Some very simple things require so much tweaking around. I dunno how many times I've been frustrating trying to do something incredibly simple that desktop had always done simply, and tried maybe 20 work arounds before NOT finding any way to do it on ipad... no browser plugins as well...

Finally, for some apps or workflows, the iPad is by default set to not allow it. I use obsidian app a lot, and most plugins do not work on mobile version. I often edit css snippets on the go but the hidden folder is simply inaccessible on ipad. I do more and more coding but you don't really have root access to ipadOs and there's no proper terminal to work on.."
@ChairmanKimchi,How is your cycle count and battery health looking like?
@georgetinsley3446,But then there is at least 1 app on the iPad that you can’t on Mac which is Bluebeam. Thankfully now they have Bluebeam cloud.
@mesetime,"I tried to use the web-version of M365 on my ipad pro & mac mini, but I really don‘t like it.. How do you guys use M365 apps on Apple devices? The reviews on Mac App-Store are very bad.
I‘m new with Mac, I had Windows before, should I download the mac version from the microsoft website for my mac mini and from the app store for my ipad? 
I just don‘t want to use the web-version anymore, this experience is really painful for an ex-windows-user.."
@zoganje,"Great video, Tech Dad. Just wondering, what kind of degree do you hold? (I'm asking because you've mentioned you cover so many different fields of study)."
@mr_red13,"For traveling and keeping my 14"" MBP at home, would you recommend the 11"" or 13"" for typing on the Magic Keyboard (in iA Writer)?"
@veloxif,"No views in 56 seconds… not a good sign… Solid video, I’ve been experimenting using my iPad for a good chunk of my workflow recently and, aside from the obvious lack of access to dedicated apps, it performs quite well."
@TheMetalMag,"interesting, I don't see myself replacing my desktop computer with an iPad"
@zaharizahariev,"Ipad pro is oxymoron it's a glorified you tube display. It's so dishonest of Apple to lie to it's customer base ...but I guess that's what you get by having an accountant as ceo.
Astronomical profits unhappy customers."
@MarcusWarcus40,The vibe in these comments is not it. iPads are awesome
@PLANETWATERMELON,"I get that you had adapted to using the iPad, but with all the work around I still think you would have done better with a Macbook Air and it would have been less expensive.  In fact you would have had enough left after to get an iPad Air for tablet things."
@cyberartsy,"Dude! Have you heard? We lost one of the biggest “iPad as a laptop” evangelist on YT, Christopher Lawley. When I questioned him, he said: “I’ve grown as a person”.  No, dude. You ran out of video ideas. lol If you do this shit to us, I’ll know for a fact you are here for the views like the rest of them! "
@chocolate_squiggle,"You couldn't PAY me to only use ANY tablet, neither Android nor Apple. The fricken hoops you have to jump through just to do the most basic things, like see a file extension, or see how large a file is. BASIC file management functions. There's not even a bloody text editor installed by default on my Android phones...Apple may be superior in that regard I don't know, but I really struggle just as badly whenever my sister asks me to 'fix her ipad'."
@znkdev,"it's a Nah, thanks haha"
@dudiyamin3311,Just use Mac ️
@m4tru88,"iPad can't even be a reliable word processing machine since it can't even do a basic function like Ctrl + Backspace, let alone replacing a desktop/laptop computer."
@multimagical3137,is impossible for a normal peoples
@sotonin,"How to tell me you have no clue without telling me you have no clue. Ipads are not computers, get real."
